_id,Rating Period,Calendar Year,Model,County,PACE Organization,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
1,01/2022-6/2022,2022,PACE,Los Angeles,AltaMed Senior Care,Full-Dual,"$4,197.13 ","$4,397.54 ","$4,615.28 ","$6,422.25 "
2,01/2022-6/2022,2022,PACE,Los Angeles,AltaMed Senior Care,Non-Dual,"$6,339.12 ","$6,649.39 ","$6,986.54 ","$9,417.40 "
3,01/2022-6/2022,2022,PACE,Los Angeles,Brandman Centers For Senior Care,Full-Dual,"$4,397.93 ","$4,612.08 ","$4,844.77 ","$6,422.25 "
4,01/2022-6/2022,2022,PACE,Los Angeles,Brandman Centers For Senior Care,Non-Dual,"$7,049.46 ","$7,401.18 ","$7,783.42 ","$9,417.40 "
5,01/2022-6/2022,2022,PACE,Orange,CalOptima,Full-Dual,"$3,991.62 ","$4,189.19 ","$4,403.89 ","$5,891.84 "
6,01/2022-6/2022,2022,PACE,Orange,CalOptima,Non-Dual,"$7,373.11 ","$7,745.13 ","$8,149.45 ","$10,162.78 "
7,01/2022-6/2022,2022,PACE,Alameda,Center For Elders Independence (CEI),Full-Dual,"$6,026.98 ","$6,330.07 ","$6,659.45 ","$6,857.71 "
8,01/2022-6/2022,2022,PACE,Alameda,Center For Elders Independence (CEI),Non-Dual,"$8,557.10 ","$8,990.46 ","$9,461.45 ","$10,664.40 "
9,01/2022-6/2022,2022,PACE,Contra Costa,Center For Elders Independence (CEI),Full-Dual,"$6,026.98 ","$6,330.07 ","$6,659.45 ","$6,296.10 "
10,01/2022-6/2022,2022,PACE,Contra Costa,Center For Elders Independence (CEI),Non-Dual,"$8,557.10 ","$8,990.46 ","$9,461.45 ","$10,336.33 "
11,01/2022-6/2022,2022,PACE,Fresno,Innovative Integrated Health,Full-Dual,"$3,669.64 ","$3,845.04 ","$4,035.60 ","$5,596.40 "
12,01/2022-6/2022,2022,PACE,Fresno,Innovative Integrated Health,Non-Dual,"$4,936.97 ","$5,177.66 ","$5,439.18 ","$9,160.69 "
13,01/2022-6/2022,2022,PACE,San Bernardino,InnovAge,Full-Dual,"$4,099.32 ","$4,307.54 ","$4,533.83 ","$5,164.21 "
14,01/2022-6/2022,2022,PACE,San Bernardino,InnovAge,Non-Dual,"$7,504.08 ","$7,886.88 ","$8,302.94 ","$9,851.40 "
15,01/2022-6/2022,2022,PACE,Riverside,InnovAge,Full-Dual,"$4,099.32 ","$4,307.54 ","$4,533.83 ","$5,164.21 "
16,01/2022-6/2022,2022,PACE,Riverside,InnovAge,Non-Dual,"$7,504.08 ","$7,886.88 ","$8,302.94 ","$9,851.40 "
17,01/2022-6/2022,2022,PACE,Alameda,On Lok Lifeways,Full-Dual,"$6,448.13 ","$6,762.94 ","$7,105.01 ","$6,857.71 "
18,01/2022-6/2022,2022,PACE,Alameda,On Lok Lifeways,Non-Dual,"$7,342.88 ","$7,712.66 ","$8,114.55 ","$10,664.40 "
19,01/2022-6/2022,2022,PACE,Santa Clara,On Lok Lifeways,Full-Dual,"$6,288.97 ","$6,597.72 ","$6,933.21 ","$6,572.52 "
20,01/2022-6/2022,2022,PACE,Santa Clara,On Lok Lifeways,Non-Dual,"$7,907.35 ","$8,304.77 ","$8,736.67 ","$10,216.69 "
21,01/2022-6/2022,2022,PACE,San Francisco,On Lok Lifeways,Full-Dual,"$8,156.64 ","$8,546.29 ","$8,969.63 ","$8,796.24 "
22,01/2022-6/2022,2022,PACE,San Francisco,On Lok Lifeways,Non-Dual,"$9,001.79 ","$9,446.74 ","$9,930.25 ","$12,944.28 "
23,01/2022-6/2022,2022,PACE,Humboldt,Redwood Coast,Full-Dual,"$5,528.20 ","$5,791.10 ","$6,076.72 ","$7,012.14 "
24,01/2022-6/2022,2022,PACE,Humboldt,Redwood Coast,Non-Dual,"$8,274.66 ","$8,679.02 ","$9,118.40 ","$11,259.95 "
25,01/2022-6/2022,2022,PACE,San Diego,San Diego PACE,Full-Dual,"$4,185.56 ","$4,388.69 ","$4,609.40 ","$5,566.11 "
26,01/2022-6/2022,2022,PACE,San Diego,San Diego PACE,Non-Dual,"$6,678.30 ","$7,010.42 ","$7,371.34 ","$9,338.05 "
27,01/2022-6/2022,2022,PACE,San Diego,St. Paul's PACE,Full-Dual,"$3,620.21 ","$3,798.07 ","$3,991.34 ","$5,566.11 "
28,01/2022-6/2022,2022,PACE,San Diego,St. Paul's PACE,Non-Dual,"$5,704.84 ","$5,992.21 ","$6,304.54 ","$9,338.05 "
29,01/2022-6/2022,2022,PACE,Sacramento,Sutter Senior Care,Full-Dual,"$5,699.95 ","$5,975.57 ","$6,275.04 ","$6,302.35 "
30,01/2022-6/2022,2022,PACE,Sacramento,Sutter Senior Care,Non-Dual,"$8,010.56 ","$8,406.44 ","$8,836.63 ","$9,638.42 "
31,07/2022-12/2022,2022,PACE,Los Angeles,AltaMed Senior Care,Full-Dual,"$4,197.13 ","$4,397.54 ","$4,615.28 ","$6,422.25 "
32,07/2022-12/2022,2022,PACE,Los Angeles,AltaMed Senior Care,Non-Dual,"$6,339.12 ","$6,649.39 ","$6,986.54 ","$9,413.80 "
33,07/2022-12/2022,2022,PACE,Los Angeles,Brandman Centers For Senior Care,Full-Dual,"$4,397.93 ","$4,612.08 ","$4,844.77 ","$6,422.25 "
34,07/2022-12/2022,2022,PACE,Los Angeles,Brandman Centers For Senior Care,Non-Dual,"$7,049.46 ","$7,401.18 ","$7,783.42 ","$9,413.80 "
35,07/2022-12/2022,2022,PACE,Orange,CalOptima,Full-Dual,"$3,991.62 ","$4,189.19 ","$4,403.89 ","$5,891.84 "
36,07/2022-12/2022,2022,PACE,Orange,CalOptima,Non-Dual,"$7,373.11 ","$7,745.13 ","$8,149.45 ","$10,159.04 "
37,07/2022-12/2022,2022,PACE,Alameda,Center For Elders Independence (CEI),Full-Dual,"$6,026.98 ","$6,330.07 ","$6,659.45 ","$6,857.71 "
38,07/2022-12/2022,2022,PACE,Alameda,Center For Elders Independence (CEI),Non-Dual,"$8,557.10 ","$8,990.46 ","$9,461.45 ","$10,661.91 "
39,07/2022-12/2022,2022,PACE,Contra Costa,Center For Elders Independence (CEI),Full-Dual,"$6,026.98 ","$6,330.07 ","$6,659.45 ","$6,296.10 "
40,07/2022-12/2022,2022,PACE,Contra Costa,Center For Elders Independence (CEI),Non-Dual,"$8,557.10 ","$8,990.46 ","$9,461.45 ","$10,333.48 "
41,07/2022-12/2022,2022,PACE,Fresno,Innovative Integrated Health,Full-Dual,"$3,669.64 ","$3,845.04 ","$4,035.60 ","$5,596.40 "
42,07/2022-12/2022,2022,PACE,Fresno,Innovative Integrated Health,Non-Dual,"$4,936.97 ","$5,177.66 ","$5,439.18 ","$9,157.62 "
43,07/2022-12/2022,2022,PACE,San Bernardino,InnovAge,Full-Dual,"$4,099.32 ","$4,307.54 ","$4,533.83 ","$5,164.21 "
44,07/2022-12/2022,2022,PACE,San Bernardino,InnovAge,Non-Dual,"$7,504.08 ","$7,886.88 ","$8,302.94 ","$9,847.74 "
45,07/2022-12/2022,2022,PACE,Riverside,InnovAge,Full-Dual,"$4,099.32 ","$4,307.54 ","$4,533.83 ","$5,164.21 "
46,07/2022-12/2022,2022,PACE,Riverside,InnovAge,Non-Dual,"$7,504.08 ","$7,886.88 ","$8,302.94 ","$9,847.74 "
47,07/2022-12/2022,2022,PACE,Alameda,On Lok Lifeways,Full-Dual,"$6,448.13 ","$6,762.94 ","$7,105.01 ","$6,857.71 "
48,07/2022-12/2022,2022,PACE,Alameda,On Lok Lifeways,Non-Dual,"$7,342.88 ","$7,712.66 ","$8,114.55 ","$10,661.91 "
49,07/2022-12/2022,2022,PACE,Santa Clara,On Lok Lifeways,Full-Dual,"$6,288.97 ","$6,597.72 ","$6,933.21 ","$6,572.52 "
50,07/2022-12/2022,2022,PACE,Santa Clara,On Lok Lifeways,Non-Dual,"$7,907.35 ","$8,304.77 ","$8,736.67 ","$10,213.59 "
51,07/2022-12/2022,2022,PACE,San Francisco,On Lok Lifeways,Full-Dual,"$8,156.64 ","$8,546.29 ","$8,969.63 ","$8,796.24 "
52,07/2022-12/2022,2022,PACE,San Francisco,On Lok Lifeways,Non-Dual,"$9,001.79 ","$9,446.74 ","$9,930.25 ","$12,941.15 "
