County,PACE Organization,Category of Aid,Lower Bound,Midpoint,Upper Bound
Alameda,Center For Elders Independence (CEI),Full-Dual,6026.98,6330.07,6659.45
Alameda,Center For Elders Independence (CEI),Full-Dual,6026.98,6330.07,6659.45
Alameda,On Lok Lifeways,Full-Dual,6448.13,6762.94,7105.01
Alameda,On Lok Lifeways,Full-Dual,6448.13,6762.94,7105.01
Alameda,On Lok Lifeways,Non-Dual,7342.88,7712.66,8114.55
Alameda,On Lok Lifeways,Non-Dual,7342.88,7712.66,8114.55
Alameda,Center For Elders Independence (CEI),Non-Dual,8557.1,8990.46,9461.45
Alameda,Center For Elders Independence (CEI),Non-Dual,8557.1,8990.46,9461.45
Contra Costa,Center For Elders Independence (CEI),Full-Dual,6026.98,6330.07,6659.45
Contra Costa,Center For Elders Independence (CEI),Full-Dual,6026.98,6330.07,6659.45
Contra Costa,Center For Elders Independence (CEI),Non-Dual,8557.1,8990.46,9461.45
Contra Costa,Center For Elders Independence (CEI),Non-Dual,8557.1,8990.46,9461.45
El Dorado,InnovAge,Full-Dual,5142.73,5395.26,5669.67
El Dorado,InnovAge,Full-Dual,5142.73,5395.26,5669.67
El Dorado,InnovAge,Non-Dual,7900.18,8295.21,8724.52
El Dorado,InnovAge,Non-Dual,7900.18,8295.21,8724.52
Fresno,Innovative Integrated Health,Full-Dual,3669.64,3845.04,4035.6
Fresno,Innovative Integrated Health,Full-Dual,3669.64,3845.04,4035.6
Fresno,Sequoia,Full-Dual,4582.85,4806.0,5048.47
Fresno,Sequoia,Full-Dual,4582.85,4806.0,5048.47
Fresno,Innovative Integrated Health,Non-Dual,4936.97,5177.66,5439.18
Fresno,Innovative Integrated Health,Non-Dual,4936.97,5177.66,5439.18
Fresno,Sequoia,Non-Dual,7930.83,8326.55,8756.59
Fresno,Sequoia,Non-Dual,7930.83,8326.55,8756.59
Humboldt,Redwood Coast,Full-Dual,5528.2,5791.1,6076.72
Humboldt,Redwood Coast,Full-Dual,5528.2,5791.1,6076.72
Humboldt,Redwood Coast,Non-Dual,8274.66,8679.02,9118.4
Humboldt,Redwood Coast,Non-Dual,8274.66,8679.02,9118.4
Kern,Bakersfield,Full-Dual,4690.11,4916.09,5161.61
